ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
5/10/2016,660,660-UNIV P&R / NW VISTA,159.96,334,0,0,134,72,3.18,23
5/10/2016,713,713-RANDOLPH BLVD PARK & RIDE,0.4,177,167,0,0,0,0.4,4
5/10/2016,715,715-CROSSROADS PARK & RIDE,4.2,427,408,0,0,3,1.15,7
5/11/2016,2,2-BLANCO RD.,1151.64,2798,2,0,1584,615,98.05,365
5/11/2016,3,3-SAN PEDRO,461.73,1915,0,0,1280,266,73.01,158
5/11/2016,4,4-SAN PEDRO,770.44,2633,0,0,1537,419,50.68,222
5/11/2016,5,5-MC CULLOUGH,576.83,1491,1,0,907,326,21.61,149
5/11/2016,6,6-US 281 Express,57.27,269,0,0,177,44,4.66,13
5/11/2016,7,7-FUNSTON,28.97,52,0,0,29,11,1.56,4
5/11/2016,8,8-N.ST.MARYS,496.78,1176,0,0,714,266,22.35,130
5/11/2016,9,9-BROADWAY,422.4,1160,0,0,739,235,18.71,110
5/11/2016,10,10-NACO./BROAD.,462.9,1331,0,0,807,253,15.08,108
5/11/2016,14,14-PERRIN BEITL,1096.95,2738,0,0,1664,609,52.85,296
5/11/2016,17,17-RANDOLPH P/R,202.43,964,0,0,604,127,16,26
5/11/2016,20,20-NEW BRAUNFELS,1123.05,3857,1,0,2487,590,44.52,315
5/11/2016,21,21-KIRBY,572.87,1280,0,0,697,328,28.65,168
5/11/2016,22,22-NOLAN,284.25,984,0,0,625,152,21.08,90
5/11/2016,24,24-E.HOUSTON,498.06,1426,0,0,859,285,23.03,127
5/11/2016,25,25-EAST COMMERCE,414.05,1370,0,0,712,233,37.32,130
5/11/2016,26,26-M.L. KING,335.65,1234,0,0,730,186,18.68,108
5/11/2016,28,28-PORTER,617.25,1595,0,0,923,334,34.04,179
5/11/2016,30,30-RIGSBY,335.13,908,0,0,535,183,17.62,93
5/11/2016,32,32-STEVES AVENUE,336.17,929,0,0,467,171,14.28,93
5/11/2016,34,34-S.ST.MARY'S,637.62,1821,0,0,1096,327,46.55,190
5/11/2016,36,36-S. PRESA ST.,357.46,882,0,0,525,198,37.75,120
5/11/2016,42,42-ROOSEVELT,531,1153,0,0,658,274,32.58,138
5/11/2016,43,43-S. FLORES,445.1,1171,0,0,613,226,17.99,108
5/11/2016,44,44-PLEASANTON RD.,442,1259,0,0,712,226,21.53,112
5/11/2016,46,46-COMMERCIAL,204.34,444,0,0,259,115,16.53,51
5/11/2016,48,48-IH 35 South Express,14.53,38,0,0,12,8,1.13,4
5/11/2016,51,51-NOGALITOS STREET,497.56,1344,0,0,839,267,22.9,146
5/11/2016,54,54-S.MAIN,76.84,177,0,0,92,35,5.8,23
5/11/2016,62,62-KELLY U.S.A.,193.88,662,0,0,407,112,16.19,60
5/11/2016,64,64-KLAC/SEA WORLD/N.W. VISTA    ,214.97,698,0,0,448,145,19.13,40
5/11/2016,66,66-CERALVO,447.38,1095,1,0,609,232,24.39,126
5/11/2016,67,67-LAREDO,175.35,521,1,0,309,96,11.79,56
5/11/2016,68,68-GUADALUPE,724.07,2271,0,0,1339,382,34.57,188
5/11/2016,70,70-DURANGO,59.38,196,0,0,109,27,5.78,18
5/11/2016,75,75-WEST COMMERCE,711.81,2505,0,0,1404,373,68.72,242
5/11/2016,76,76-OLD HWY. 90 W.,716.98,2199,0,0,1426,390,33.71,186
5/11/2016,77,77-MARTIN ST.,184.42,583,1,0,332,87,9.22,47
5/11/2016,79,79-RUIZ ST.,322.73,1151,1,0,744,171,14.24,94
5/11/2016,82,82-CULEBRA,651.58,1774,0,0,1104,362,33.36,177
5/11/2016,88,88-BANDERA RD.,722.15,1958,1,0,1186,399,39.03,200
5/11/2016,89,89-DONALDSON,286.75,921,0,0,582,156,8.11,77
5/11/2016,90,90-BABCOCK RD.,342.9,1141,0,0,661,171,34.32,113
5/11/2016,93,93-CROSS./UTSA/P/R EXP.,57.26,285,0,0,158,36,4.24,10
5/11/2016,94,94-FIESTA/UTSA/EXPRESS          ,111.94,408,0,0,212,58,8.89,15
5/11/2016,95,95-Fredericksburg Rd.,263.04,988,0,0,683,127,12.45,82
5/11/2016,96,96-VANCE JACKSON RD.,777.86,2408,0,0,1507,440,33.25,190
5/11/2016,97,97-WEST AVENUE,601.57,1716,0,0,1051,321,36.59,165
5/11/2016,100,100 - PRIMO FREDRICKSBURG RD.,1385.78,5390,1,0,3656,783,86.17,404
5/11/2016,301,301-RED                         ,298.52,420,0,0,186,172,10.97,44
5/11/2016,305,305-BLUE                        ,93.44,249,0,0,142,40,3.78,26
5/11/2016,333,333-E-Route,0,12,0,0,0,0,0,0
5/11/2016,502,502-THOUSAND OAKS               ,329.57,983,1,0,653,198,9.96,82
5/11/2016,505,505-BASSE RD.,215.84,635,0,0,392,119,7.93,56
5/11/2016,509,509-HILDEBRAND                  ,297.48,838,0,0,520,157,17.58,74
5/11/2016,515,515-SOUTHCROSS                  ,327.14,787,1,0,462,188,28.43,89
5/11/2016,520,520-ZARZAMORA                   ,1874.41,5619,0,0,3488,1031,85.43,531
5/11/2016,522,522-CUPPLES RD.                 ,287.27,848,0,0,522,123,22.73,105
5/11/2016,524,524-MCMULLEN                    ,902.66,2288,0,0,1263,461,48.36,299
5/11/2016,534,534-WURZBACH                    ,763.55,2284,0,0,1480,403,53.41,232
5/11/2016,550,550-LOOPER LIMITED STOP,1134,3203,0,0,2039,636,55.09,304
5/11/2016,551,551-LOOPER LIMITED STOP,1022.56,3518,1,0,2306,556,43.42,304
5/11/2016,602,602-MED/N CENT,355.85,974,0,0,636,185,37.33,101
5/11/2016,603,603-MED/WD  PK/UTSA,313.88,751,1,0,422,164,19.93,94
5/11/2016,604,604-CROSSROADS/WOODS OF SHAVANO ,131.74,327,0,0,203,66,19.18,51
